"ID","Nimi","Namn","Name","Osoite","Adress","Kaupunki","Stad","Kapasiteet","x","y"
"323","Sallatunturintie","Sallatunturivägen","Sallatunturintie","Sallatunturintie 2","Sallatunturivägen 2","Helsinki","Helsingfors",16,25.118300016596,60.2367409143469
"325","Mellunmäki (M)","Mellungsbacka (M)","Mellunmäki (M)","Pallaksentie 3","Pallasvägen 3","Helsinki","Helsingfors",20,25.1098747367064,60.2385353540219
"324","Sinkilätie","Märlvägen","Sinkilätie","Untamalantie 2","Untamalavägen 2","Helsinki","Helsingfors",16,25.1110602327979,60.2329614527257
"327","Humikkalankuja","Humikkalagränd","Humikkalankuja","Rintinpolku 2","Grindstigen 2","Helsinki","Helsingfors",16,25.0900641525363,60.2298249948271
"328","Lallukankuja","Lallukkagränden","Lallukankuja","Lallukankuja 1","Lallukkagränden 1","Helsinki","Helsingfors",12,25.082971174464,60.2235265780465
"329","Kurkimäki","Tranbacka","Kurkimäki","Kurkimäentie 3","Tranbackavägen 3","Helsinki","Helsingfors",16,25.0716416497357,60.2282903943644
"330","Kontula (M)","Gårdsbacka (M)","Kontula (M)","Kontulankaari 1","Gårdsbackabågen 1","Helsinki","Helsingfors",20,25.0826095549619,60.2360953526154
"326","Tuukkalantie","Tuukkalavägen","Tuukkalantie","Aarteenetsijäntie 10","Skattsökarvägen 10","Helsinki","Helsingfors",16,25.1007232150956,60.2388442456374
"331","Lettopolku","Gungflystigen","Lettopolku","Lettopolku 2","Gungflystigen 2","Helsinki","Helsingfors",16,25.0855297731565,60.240913939764
"332","Kontulankaari","Gårdsbackabågen","Kontulankaari","Kontulankaari 7","Gårdsbackabågen 7","Helsinki","Helsingfors",16,25.076226580763,60.2438416352054
"333","Kivikonkaari","Stensbölebågen","Kivikonkaari","Kontulankaari 8, toinen puoli","Gårdsbackabågen 8, andra sidan","Helsinki","Helsingfors",14,25.0746433427518,60.2399042915928
"334","Varustuksentie","Rustningsvägen","Varustuksentie","Varustuksentie 1","Rustningsvägen 1","Helsinki","Helsingfors",14,25.0668572558023,60.2391310073666
"335","Kurkimäentie","Tranbackavägen","Kurkimäentie","Kivikonkaari 30","Stensbölebågen 30","Helsinki","Helsingfors",16,25.0626083649392,60.2331943880568
"336","Kivikonlaita","Stensbölekanten","Kivikonlaita","Kivikonlaita 2","Stensbölekanten 2","Helsinki","Helsingfors",16,25.0549152254879,60.230462178329
"337","Kivikon liikuntapuisto","Stensböle idrottspark","Kivikko sports park","Savikiekontie 6","Lerduvevägen 6","Helsinki","Helsingfors",16,25.0524695830581,60.23703581972
"338","Jakomäentie","Jakobackavägen","Jakomäentie","Jakomäentie 18","Jakobackavägen 18","Helsinki","Helsingfors",16,25.0743775866131,60.2537712252939
"340","Jakomäki","Jakobacka","Jakomäki","Jakomäenkuja 2","Jakobackagränden 2","Helsinki","Helsingfors",16,25.0759055985793,60.2610194104155
"339","Alppikylä","Alpbyn","Alppikylä","Tattariharjuntie 51","Tattaråsvägen 51","Helsinki","Helsingfors",14,25.0648942053969,60.259431119227
"341","Heikinlaakso","Henriksdal","Heikinlaakso","Vanha Porvoontie 32","Gamla Borgåvägen 32","Helsinki","Helsingfors",16,25.0727127107009,60.2701965544061
"342","Puistolan VPK","Parkstads FBK","Puistolan VPK","Puistolan raitti 5","Parkstads bygata 5","Helsinki","Helsingfors",18,25.0575355661699,60.2700856600164
"343","Puistolantori","Parkstads torg","Puistolantori","Puistolantori 1","Parkstads torg 1","Helsinki","Helsingfors",12,25.0458546004102,60.2743699271658
